Date,Daily.SAIDI
2015-09-03,0.066754873
2015-09-04,0.063566509
2015-09-05,0.103133281
2015-09-06,0.15563555
2015-09-07,0.040273513
2015-09-08,0.080761189
2015-09-09,0.097739029
2015-09-10,0.220096193
2015-09-11,0.160628245
2015-09-12,0.035420024
2015-09-13,0.109734882
2015-09-14,0.0735867
2015-09-15,0.142908863
2015-09-16,0.149242759
2015-09-17,0.119503431
2015-09-18,0.068146938
2015-09-19,0.098092399
2015-09-20,0.070807924
2015-09-21,0.060996543
2015-09-22,0.077455035
2015-09-23,0.10450393
2015-09-24,0.07625304
2015-09-25,0.115683283
2015-09-26,0.506797345
2015-09-27,0.110420206
2015-09-28,0.256035565
2015-09-29,0.079280782
2015-09-30,0.065186123
2015-10-01,0.095575974
2015-10-02,0.133699817
2015-10-03,0.111592753
2015-10-04,0.051343107
2015-10-05,0.028060819
2015-10-06,0.097519511
2015-10-07,0.065036208
2015-10-08,0.101741216
2015-10-09,0.065295882
2015-10-10,0.083813024
2015-10-11,0.128059277
2015-10-12,0.068296853
2015-10-13,0.187497777
2015-10-14,0.104214809
2015-10-15,0.168000836
2015-10-16,0.143551355
2015-10-17,0.148313823
2015-10-18,0.26432906
2015-10-19,0.323971017
2015-10-20,0.12801109
2015-10-21,0.144041254
2015-10-22,0.35325257
2015-10-23,0.241831147
2015-10-24,0.58703651
2015-10-25,0.760916143
2015-10-26,0.519955037
2015-10-27,0.09538055
2015-10-28,0.126158572
2015-10-29,0.082113099
2015-10-30,1.221047184
2015-10-31,0.974817647
2015-11-01,0.173922466
2015-11-02,0.130880885
2015-11-03,0.110556736
2015-11-04,0.09470861
2015-11-05,0.036065193
2015-11-06,0.072695243
2015-11-07,0.148450353
2015-11-08,0.044085629
2015-11-09,0.049959073
2015-11-10,0.05655532
2015-11-11,0.063984129
2015-11-12,0.039938882
2015-11-13,0.068275437
2015-11-14,0.045520527
2015-11-15,0.109314585
2015-11-16,0.340568715
2015-11-17,1.818202936
2015-11-18,0.235119787
2015-11-19,0.071147909
2015-11-20,0.047897746
2015-11-21,0.239595812
2015-11-22,0.18391321
2015-11-23,0.111721252
2015-11-24,0.040493031
2015-11-25,0.046864405
2015-11-26,0.065196831
2015-11-27,0.586131668
2015-11-28,0.436265157
2015-11-29,0.314001689
2015-11-30,0.144429426
2015-12-01,0.06539761
2015-12-02,0.069683564
2015-12-03,0.170803705
2015-12-04,0.08397097
2015-12-05,0.087595693
2015-12-06,0.169047561
2015-12-07,0.055264983
2015-12-08,0.067600821
2015-12-09,0.152594423
2015-12-10,0.064811336
2015-12-11,0.046393245
2015-12-12,0.123042488
2015-12-13,1.363741883
2015-12-14,0.238412557
2015-12-15,0.138909353
2015-12-16,0.387259113
2015-12-17,0.077693292
2015-12-18,0.122402674
2015-12-19,0.139118163
2015-12-20,0.132163192
2015-12-21,0.086977295
2015-12-22,0.068596683
2015-12-23,0.057585983
2015-12-24,0.021526144
2015-12-25,0.061015282
2015-12-26,0.136457177
2015-12-27,2.477185116
2015-12-28,2.378514474
2015-12-29,0.657456262
2015-12-30,0.357150352
2015-12-31,0.000819177
2016-01-01,0.238198355
2016-01-02,0.065035742
2016-01-03,0.214125495
2016-01-04,0.094452872
2016-01-05,0.080938491
2016-01-06,0.070380011
2016-01-07,0.194581075
2016-01-08,0.110065943
2016-01-09,0.567367531
2016-01-10,0.119619416
2016-01-11,0.142580858
2016-01-12,0.077769765
2016-01-13,0.07804762
2016-01-14,0.147416713
2016-01-15,0.101813066
2016-01-16,0.136663143
2016-01-17,0.126512578
2016-01-18,0.542898579
2016-01-19,0.055653711
2016-01-20,0.194167249
2016-01-21,0.636387827
2016-01-22,0.232883645
2016-01-23,0.15216389
2016-01-24,0.124573507
2016-01-25,0.052526367
2016-01-26,0.608696944
2016-01-27,0.063942058
2016-01-28,0.165424064
2016-01-29,0.113754908
2016-01-30,0.203117718
2016-01-31,0.299214071
2016-02-01,0.40437913
2016-02-02,0.49840044
2016-02-03,0.084290483
2016-02-04,0.123113292
2016-02-05,0.094523814
2016-02-06,0.237423909
2016-02-07,0.037599065
2016-02-08,0.193174066
2016-02-09,0.131029195
2016-02-10,0.11448206
2016-02-11,0.207049067
2016-02-12,0.090917614
2016-02-13,0.041223
2016-02-14,0.167558225
2016-02-15,0.530259145
2016-02-16,0.107754428
2016-02-17,0.054802411
2016-02-18,0.059679648
