Method,Event_Grouping,Census_Division,CT,ME,MA,NH,RI,VT,NJ,NY,PA,IL,IN,MI,OH,WI,IA,KS,MN,MO,NE,ND,SD,DE,DC,FL,GA,MD,NC,SC,VA,WV,AL,KY,MS,TN,AR,LA,OK,TX,AZ,CO,ID,MT,NV,NM,UT,WY,CA,OR,WA,AK,HI
IEEE,Without Major Event Days,2016,103.2,264.4,91.6,135.3,69.1,198.8,85,160.2,105.1,80.7,129.4,194.2,127.1,76.3,96,132.3,88.6,86.6,49.2,110.4,84.4,102.3,115,82.7,120.6,104.5,152.1,122.1,219.7,439.1,140.1,139,179.9,141.6,213.7,190.1,122.3,132.7,67.9,83.5,157.6,128.8,73.7,102.2,106.1,135.6,100.8,101.1,121.3,176.9,83.2
IEEE,Without Major Event Days,2017,78.1,238.5,72.7,120.5,59.1,186.2,71,132.1,108.4,72.8,135.4,180.1,141.8,69.1,103.8,130.9,71.7,90.8,72.5,70.4,80.3,83.3,57.5,76.7,115.2,81.5,151.1,119.4,218,451.8,130.8,120,205.5,141.7,176,196.9,118,135.1,50.8,80.2,223.9,160.8,87.7,114.5,116.3,171.9,104,111.6,135.8,136.9,112
IEEE,Without Major Event Days,2018,80.9,273,81.3,122,65.1,357.7,87.4,145.2,122.8,72.5,146.1,186.4,150.1,76.4,92.9,105.6,87.8,91.8,76.8,96,73,73.8,52.9,79.6,118.8,93.6,168,138.8,307.8,513.1,136.8,146.7,209.7,145.6,214.1,214.2,113.9,130.2,57.6,86.5,140.8,118.3,76.7,123.9,115.5,107.1,99.5,90.3,115.5,193.1,151.9
IEEE,Without Major Event Days,2019,67.5,213.7,67.5,84.9,68.2,170.4,86.4,136.9,130.5,73.8,147.5,213.9,145.2,90,83.7,117.2,79.9,113.6,59.2,77.1,108.2,74.2,55,74,125.8,89,147,106.3,285.4,471.3,106.8,148.9,214.3,160.4,228,223.5,138.4,141.4,64,84.3,132.3,121.7,77.5,121.5,110.8,134,106.7,101.6,105.8,184.1,113.4
IEEE,Without Major Event Days,2020,70.2,244.8,63.6,99,69.1,158.4,86.5,142.1,107.5,57.1,127.6,168.3,129.2,89.1,85.7,91.8,84.7,96.7,67.4,86.8,71.5,84.9,39,72.5,130.5,76.2,146,121.3,250.6,467.9,144.6,125.3,203.9,144.5,210.6,217.9,139.3,132.7,62,83.4,158.1,136,55.3,113.6,100.9,105.1,107.6,103.4,126.9,245.5,97.3
IEEE,Without Major Event Days,2021,76.7,223.5,88.1,98.3,68.8,215.3,84.3,131.5,125.2,63.6,137.4,178.6,136,88,80.7,113.9,81.7,97.8,59.9,88.4,61.9,64.3,42,65.3,123.8,80.2,125.9,101.3,262.7,451.6,110.9,130.3,224.5,151.7,199.4,265,126.2,174.7,69.3,104.8,137.5,142.6,69.6,120,98,115.6,148,113.9,151.1,230.6,
IEEE,Without Major Event Days,2022,73.7,216.7,84.4,78.2,63.2,178.5,78.7,150,125.4,59.1,139.9,166.8,144.1,104.7,78.2,108.1,81,97,56.2,102.8,126.3,66.4,26.3,69.8,129.3,84.2,150.7,114.8,342.3,543.6,198.4,151.5,243.3,194.1,279.6,252.2,122.4,153.7,69.1,96.9,144.5,139.6,77,125.4,96.6,116.1,156.5,121,153.5,334.9,
IEEE,Without Major Event Days,2023,77.7,247.4,83.5,89.3,52.2,204.3,88,130.1,125.9,56.2,111.3,164.8,127.1,76.8,60.7,101.8,72.8,104.4,55.6,93.9,63.9,61.2,33.3,69.4,133.4,66.9,156.4,126.5,239.9,385.7,189.5,140.6,266.6,192.7,230.7,199.3,123.8,150.3,66.9,89.2,121.8,113.9,81.2,123.7,108.5,102.6,157.1,103.5,129.8,325.7,
IEEE,Loss of Supply Removed,2013,171.5,916.5,422.4,206.5,782.9,240,152.4,294.2,136.7,183.1,213.9,793.9,205.5,161.5,129.5,237.8,392.8,317,63,91.8,1080.7,152.6,117,77.9,116.7,104.9,231,120,817.5,497,250.9,158.9,199.3,176.7,322.6,232.9,474.7,149.5,62.8,106.8,201.2,167.5,120,112.9,183.9,371.3,95.2,110.4,121.1,430.2,
IEEE,Loss of Supply Removed,2014,93.6,1046.1,128.1,821.9,54.2,240,109.1,198,426.9,197.3,218.7,589,142.1,152.9,136.3,138.5,118.8,139.8,86.3,76.7,93.5,162.7,96,122.4,210.7,244.4,471.1,777.9,259.3,597.6,289.6,233.4,278.6,263,593.9,271.9,92.1,206.6,83.4,80.9,145.9,137.3,,27,167.9,166.5,116.8,227.3,362.8,264.9,
