Method,Event_Grouping,Census_Division,CT,ME,MA,NH,RI,VT,NJ,NY,PA,IL,IN,MI,OH,WI,IA,KS,MN,MO,NE,ND,SD,DE,DC,FL,GA,MD,NC,SC,VA,WV,AL,KY,MS,TN,AR,LA,OK,TX,AZ,CO,ID,MT,NV,NM,UT,WY,CA,OR,WA,AK,HI
IEEE,All Events (With Major Event Days),2013,0.931,2.894,1.14,1.98,1.26,2.838,1.358,1.308,1,1.093,1.206,1.531,1.168,0.869,1.068,1.584,1.247,1.086,0.774,1.601,1.88,1.464,0.88,0.965,1.266,1.14,1.351,1.058,2.078,2.294,1.973,1.508,1.729,1.681,1.77,2.814,1.727,1.426,0.816,1.183,1.642,1.433,0.617,0.975,1.461,1.852,0.839,0.817,1.085,2.298,
IEEE,All Events (With Major Event Days),2014,0.777,5.123,0.969,1.969,0.762,2.521,0.953,1.15,1.282,1.124,1.258,1.23,1.197,0.835,1.224,1.354,1.016,1.079,0.69,1.797,1.048,1.414,0.69,1.134,1.53,1.284,1.512,1.853,1.59,2.366,2.04,1.664,2.042,1.779,1.841,2.987,1.117,1.494,0.844,0.974,1.266,1.188,0.702,0.812,1.373,1.565,0.914,1.346,1.673,2.259,
IEEE,All Events (With Major Event Days),2015,0.757,1.871,0.781,1.13,1.231,1.765,0.994,1.173,1.02,1.112,1.294,1.151,1.193,1.456,0.997,1.629,0.972,1.023,0.662,2.38,1.121,1.53,0.686,1.096,1.563,1.023,1.383,1.49,1.548,2.415,2.021,1.595,2.148,1.787,2.05,2.279,1.87,1.843,0.857,1.013,1.668,1.694,0.731,0.961,1.363,1.505,0.916,1.051,1.702,2.319,1.911
IEEE,All Events (With Major Event Days),2016,1.16,2.693,1.027,1.534,1.206,1.552,1.158,1.313,1.092,1.016,1.347,1.13,1.181,0.864,1.166,1.423,1.217,1.042,0.702,2.063,1.362,1.343,0.82,1.372,1.525,1.099,1.856,2.445,1.692,2.351,1.759,1.467,1.861,1.806,2.084,2.082,1.69,1.638,0.839,1.168,1.338,1.259,0.835,1.34,1.313,1.511,1.014,1.105,1.243,2.111,1.3
IEEE,All Events (With Major Event Days),2017,1.045,2.814,1.026,2.004,1.185,2.609,0.936,1.397,1.126,0.921,1.313,1.413,1.351,0.928,1.073,1.488,0.953,1.16,0.909,1.039,1.156,1.131,0.553,2.068,2.214,0.898,1.381,1.609,1.617,2.333,1.92,1.336,2.121,1.865,2.089,2.267,1.463,1.691,0.867,1.214,1.697,1.551,0.905,1.242,1.075,1.685,1.275,1.344,1.367,1.574,1.794
IEEE,All Events (With Major Event Days),2018,1.286,2.801,1.661,1.889,1.57,3.39,1.415,1.518,1.489,0.912,1.493,1.374,1.408,0.768,1.021,1.163,1.032,0.974,1.099,0.954,1.108,1.037,0.643,1.112,1.542,1.248,2.284,1.77,2.605,2.646,1.959,1.782,1.733,1.956,1.721,2.032,1.449,1.428,0.917,0.965,1.198,1.192,0.976,1.113,1.008,1.319,0.958,0.9,1.168,2.931,1.867
IEEE,All Events (With Major Event Days),2019,0.998,2.525,1.115,1.168,1.397,1.96,1.193,1.475,1.312,0.923,1.524,1.542,1.475,1.122,1.128,1.361,0.987,1.301,0.659,1.006,1.627,0.981,0.59,0.985,1.361,1.049,1.449,1.497,2.091,2.801,1.783,1.617,2.012,2.134,1.94,2.133,1.6,1.66,0.865,1.112,1.243,1.345,0.815,1.113,1.001,1.455,1.259,0.989,1.205,1.92,1.64
IEEE,All Events (With Major Event Days),2020,1.982,3.863,1.216,1.514,1.966,1.63,1.581,1.479,1.336,0.925,1.31,1.375,1.356,0.833,1.489,0.945,1.037,1.002,0.792,1.151,1.094,1.51,0.4,1.139,1.952,0.919,1.718,1.482,1.808,2.437,3.499,1.354,2.379,2.128,1.858,3.34,1.787,1.636,0.797,1.032,1.589,1.343,0.722,0.92,1.319,1.892,1.093,1.13,1.327,1.968,1.207
IEEE,All Events (With Major Event Days),2021,0.989,2.492,1.231,1.095,1.429,1.91,1.002,1.311,1.227,0.901,1.39,1.647,1.33,1.079,0.959,1.537,1.039,1.265,1.165,1.003,0.979,0.963,0.45,0.901,1.291,0.965,1.249,1.158,1.981,2.383,1.378,1.527,2.29,2.007,1.674,3.355,1.519,3.33,1.055,1.139,1.779,1.621,0.837,1.239,0.912,1.131,1.315,1.604,1.756,2.372,
IEEE,All Events (With Major Event Days),2022,0.905,3.001,1.093,1.417,0.959,2.44,0.876,1.466,1.163,0.756,1.427,1.34,1.518,1.101,0.978,1.321,1.207,1.057,0.59,1.425,1.204,0.853,0.302,1.463,1.668,1.16,1.97,1.87,2.541,2.737,2.28,1.707,2.168,3.326,2.16,1.992,1.452,1.704,1.024,1.041,1.168,1.398,0.984,1.089,0.858,1.286,1.259,1.311,1.52,4.959,
