Total Solar & Wind Capacity by State and Year (MW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
NE,0,0,0,0,0,0,0,0,3,3,6,8,6,26,26,146,146,142,142,304,424,665,910.8,1060.4,1623.4,1770.2,2671.4,2865.6,3435.8,4410,5208.8,5989,7131.4,7131.4
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,48,48,342,342,342,342,370.6,370.6,370.6,428.2,433,433,433,433
NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,24,42,72,308.2,476.2,679.2,802.8,906.8,1245.8,1360.4,1561.8,1732.4,1917,2063.2,2153.8,2359.2
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,408,528,808,988,988,992,1194,1460,1759.4,1876.6,1936,2126,2749,3169,4563.4,4755.2,5421.2,6589.4,10013.6,10537.6,11088.8
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,178,202,298,297.4,973.4,1040,1535,2257.8,4105.6,4684.8,4152,5014.2,5335.8,6601.2,7221,8522
NY,0,0,0,0,0,0,0,0,0,0,36,36,96,96,96,370,740,850,1414,2548,2548,2860.8,3344,3562.2,3608.6,3664.4,3878.2,3983,4519.6,4952.6,5325.8,6233.2,7138,8939.8
OH,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,14,14,14,14,14,40,365.2,980.8,1015.2,921.6,951.2,1165.4,1350.2,1606.4,1657.2,1930.6,3167.2,3170,5833.2
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,352,352,948,1188,1378,1416,2260,2960,3621.6,6265.8,6265.8,7559,10029.2,13314.6,13857.8,16202.4,16402.4,18724,20910,23284.4,24586.8
OR,2,2,2,0,0,0,0,0,50.16,50.16,50,316,366,448,448,598,799,1772,2136,3330,4021,4434.2,6344.2,6344.2,6344.6,6354.6,6522.2,6831.4,7048,7653.8,8681.2,8981.6,9534.6,9968.6
PA,0,0,0,0,0,0,0,0,0,0,20,68,68,264,264,446,300,586,728,1504,1530,1628.6,2775,2782.6,2785.2,2764.4,2855.2,2857.2,2866.2,3092.4,3228.4,3240.4,3282.6,4495.2
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,19.8,28.8,35.4,122.4,142.4,168.2,306,504,617.8,673.8,927
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,38.6,511.2,706,1316,2197.6,2277.8,2682.8,3119.8
SD,0,0,0,0,0,0,0,0,0,0,0,6,6,87,87,87,87,87,387,640,1258,1560,1581,1581,1320,1675.6,1977.6,1977.6,1757.6,2751.2,4302.8,5519.4,5519.4,6474.2
TN,0,0,0,0,0,0,0,0,0,0,4,4,4,4,58,58,58,58,58,58,58,57.6,87.2,89.4,152.6,152.6,202.8,240.8,418.8,424.6,428,445.6,783,1210.2
TX,0.6,0.6,0.6,0.6,0.6,0.6,67.8,69.8,69.8,348.44,348,1851,2172,2571,2571,3509,5475,8980,14862,18768,19944,20822.6,24521.8,24909.2,28373.6,35965.6,41545.2,47635.6,52260.8,61016.8,69975.2,86417.4,101414.8,110755.8
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,444,444,648.8,651.4,651.4,651.4,981.6,2488,2490.6,2494.6,2609.8,3170.8,3693.8,3864.8,4044
VA,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,812,924,1251.2,2602,4430.2,5721.4,7362.8
VT,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.5,12.5,12.5,12,12,12,12,12,12,12,12,12,12,12,96.4,258,266.6,302.6,307,374,450.6,503.2,545.2,549.6,569.6,580.6,595
WA,0,0,0,0,0,0,0,0,0,0,0,360,456,488,488,788,1643,2328,2734,4016,4597,4917.4,5622.8,5623,6156.6,6156.6,6149,6149,6187.4,6206.2,6820.4,6820.4,7150.4,7150.4
WI,0.08,0.08,0.08,0.08,0.08,0,0,0,0,42.88,46,109,106,106,106,106,106,106,730,898,938,1261,1271.4,1269,1277,1277,1281.2,1507.8,1520.2,1550.4,1886,2474.6,3017,4954.8
WV,0,0,0,0,0,0,0,0,0,0,0,0,132,132,132,132,132,132,660,660,862,1056.2,1166.6,1166.6,1166.6,1166.6,1372.6,1372.6,1372.6,1372.6,1485,1482,1712,1712
WY,0,0,0,0,0,0,0,0,1.5,19.64,192,282,282,570,570,575,575,575,1360,2208,2830,2863.6,2866,2866,2866,2866,2974.6,2974.6,3158.6,3362.6,5400.6,6444,6444,6642.2
