Total Nameplate Capacity by State and Year (MW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
MD,21677.06,23824.22,24150.22,23815.12,23830.82,24293.04,24872.87,25131.31,24870.39,25275.48,22573,25268,25307,26726,26765,26765,26765,26888,27099,27104,27225,27405.6,27042.4,27287,27164.6,27550.8,27414.6,28971.2,32674,32208.2,30370.6,28542.2,26158.8,26305.4,899320.93
ME,7603.99,7647.32,7737.82,7784.72,7872.2,7791.72,7717.68,5864.72,5792.45,6026.65,9151,9137,9129,9141,8932,8932,8931,9044,9060,9318,9508,9377.8,9600.8,9600.2,9545.2,9822.8,10421.6,10437.2,10245.2,9967.8,10228.2,10531.6,10739.6,10978,303618.27
MI,54299.87,53868.13,54210.99,54238.28,54083.86,54275.74,55769.06,54510.52,53816.54,55863.6,56432,58620,64115,66562,66742,66716,65959,66075,66329,66160,65984,66132.8,67129,66797.4,67057.6,66062.6,63767,64337,64076.2,63450.2,63996.6,64395.2,65290.6,65316.6,2102439.39
MN,19716.24,19787.25,19830.5,19685.63,19814.39,19815.78,20508.11,21251.84,20929.65,21219.81,21323,23241,24033,24292,24461,25917,27071,27969,31358,32519,33217,34338.6,34990.4,34961.4,35414.6,34803.8,35360.6,36207.6,37273.2,37917.4,39066,39867.2,40244,38825.6,977230.6
MO,33567.18,33559.84,33851.28,33924.38,33924.18,34381.72,34727.44,35190.06,35145.02,36317.04,37113,41068,43124,43244,43379,44149,44216,44391,44641,44919,46999,47527.2,47898.6,47817.8,47742.6,47674,47516.6,47765.4,46248.2,46181.6,47410.2,48091.2,46039,46230.4,1435973.94
MS,15129.86,15155.7,15167.24,15170.44,15324.6,15334.36,15385.8,15577.6,15588.86,17674.68,19322,24003,29848,37202,36753,37107,37083,36369,35653,35540,35214,35014.6,35083.4,35071.4,36706.8,36331.6,36147.8,35608.4,32750.2,32367.8,32522.8,32525.2,32731.6,32974,965438.74
MT,9999.28,10061.82,10131.9,10131.9,10215.56,10450.76,10451.26,10426.18,10426.18,11730.58,10168,10330,10332,10418,10430,10722,11176,11317,11512,11810,11988,12320.8,12967.4,13126.4,13164.8,12734,12893.4,12940.6,13400,13411.4,12042,12465.8,13214.6,13767,392676.62
NC,44150.88,44239.24,44349.78,44343.5,44618.74,46949.32,47836.06,47732.35,47898.49,48257.08,51973,55562,57077,58687,58050,58031,58048,59312,59298,60206,60396,62404.2,66392.6,65177.6,66005.4,68271.2,70618.4,72061,74379.6,76078.8,76879.2,76449,77111.4,78199.6,2027043.44
ND,9414.58,9405.66,9242.58,9274.78,9293.46,9288.42,9384.8,9899.2,9356.96,9777.32,9784,9764,9732,9979,10059,10122,10260,10695,11610,12596,13038,13037.4,13491.2,13744.8,14375.2,15542.2,16669.2,17263.2,17726,18278.2,19277,19995.6,19750.4,19750.4,430877.56
NE,11776.08,11496.78,11543.06,11573.2,11573.54,11575.74,11781.46,11986.04,12042.3,12054.42,12295,12537,12563,14027,14254,14990,14997,14847,14847,16496,16762,17507.4,17751.2,17852.8,18425.4,18572.2,18109,18154.8,19009.6,19969,20775.8,21561.8,22706.2,22695.4,529108.22
